#Generated with Biddy (biddy.meolic.com)
#ZBDDCE-PLAIN
#SIZE: 5
#NF: 4294967296

          NODES             MIN             MAX            BASE             ALL
              1               2               2               2             240
              2               5               5               5             600
              3              45              25              35            4200
              4             520              70             220           26400
              5            6955             260            1305          156600
              6           81037             912            7378          885360
              7          566438            3523           39847         4781640
              8         2914497           11345          203924        24470880
              9        12525276           45379          979522       117542640
             10        48664288          170762         4405016       528601920
             11       166733117          594052        18410594      2209271280
             12       502610384         1942849        69431568      8331788160
             13      1159935891         8637628       223342848     26801141760
             14      1456335407        31485537       572142912     68657149440
             15       836608026       131001346      1074728520    128967422400
             16       107634780       564504416      1281360960    153763315200
             17          350628      1594931075       806420160     96770419200
             18               0      1649673018       223534080     26824089600
             19               0       311965092        19958400      2395008000
