#Generated with Biddy (biddy.meolic.com)
#OBDDCE-PLAIN
#SIZE: 5
#NF: 4294967296

          NODES             MIN             MAX            BASE             ALL
              1               2               2               2             240
              2               0               0               0               0
              3              10              10              10            1200
              4              80              80              80            9600
              5             900             180             580           69600
              6           14800             720            3920          470400
              7          239284            2164           24940         2992800
              8         2204920            5440          148832        17859840
              9        13260730           17690          819274        98312880
             10        58747224          116944         4077440       489292800
             11       207181858          224570        18038498      2164619760
             12       615082000          221248        69381840      8325820800
             13      1462528400         1206400       223877520     26865302400
             14      1444059264         7263744       572592240     68711068800
             15       452971008        46615200      1074728520    128967422400
             16        38521968       432117648      1281360960    153763315200
             17          154848      1689558896       806420160     96770419200
             18               0      1801571136       223534080     26824089600
             19               0       316045224        19958400      2395008000
