#Generated with Biddy (biddy.meolic.com)
#OBDDCE
#SIZE: 5
#NF: 4294967296

          NODES             MIN             MAX            BASE             ALL
              1               2               2               2             240
              2              10              10              10            1200
              3             100             100             100           12000
              4            1860             180             980          117600
              5           58970            2170            9170         1100400
              6         1575186            1026           80834         9700080
              7        14271360           17760          659760        79171200
              8        85689360          166480         4786560       574387200
              9       343211008          160848        28993080      3479169600
             10      1162949280          142384       137588160     16510579200
             11      1921778928         2089392       476405760     57168691200
             12       708975360        17660928      1131621120    135794534400
             13        56315520       318542576      1551657600    186198912000
             14          140352      2459655120       844738560    101368627200
             15               0      1496528320       118425600     14211072000
             16               0               0               0               0
             17               0               0               0               0
             18               0               0               0               0
             19               0               0               0               0
