#Generated with Biddy (biddy.meolic.com)
#ZBDDCE
#SIZE: 5
#NF: 4294967296

          NODES             MIN             MAX            BASE             ALL
              1               2               2               2             240
              2              10              10              10            1200
              3             100             100             100           12000
              4            1740             240             980          117600
              5           46610            2240            9170         1100400
              6         1065046            2796           80834         9700080
              7         9684940           40130          659760        79171200
              8        65058588          178100         4786560       574387200
              9       309931828          383926        28993080      3479169600
             10      1017507060         2486064       137588160     16510579200
             11      1745609676        15583892       476405760     57168691200
             12      1028888104        89015138      1131621120    135794534400
             13       117088344       605605000      1551657600    186198912000
             14           85248      2247212880       844738560    101368627200
             15               0      1334456778       118425600     14211072000
             16               0               0               0               0
             17               0               0               0               0
             18               0               0               0               0
             19               0               0               0               0
